standard_number,title,description,status,version_number,effective_date,reviewed_year,source_name,source_url,authoritative,bis_url
IS 430:1972,IS 430:1972,IS 430:1972,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjNaNEM5VlI2Qm9KU2ZLZ1JLaXVzMUE9PSIsInZhbHVlIjoiU0s4WWJUSmlNblpsVW5DWHpFd2ZoUT09IiwibWFjIjoiMDE2N2RjZTljMGQxNTc4OThlZDEzMWY0NDE4YmJmMGRiMGU1MWQ5MGNlNjA1ZmYzMjQ3NWQ2M2ZjMWIxZDEyYyIsInRhZyI6IiJ9&standardNumber=IS%20430:1972
IS 431:1972,IS 431:1972,IS 431:1972,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkduOFBaTXp4R2pObDZTN1ZnOHJ1dXc9PSIsInZhbHVlIjoic2E2bnVySUd4RzgxUSt3dkRMejR5QT09IiwibWFjIjoiNTgyNmNhYjhmMWRmZDA0ZTZhODEzNjUwZWY1NjE2MjgzMTdlYzNkYjQyOGFkYjczNzkzNDI4MTdhMjY2MzAwNyIsInRhZyI6IiJ9&standardNumber=IS%20431:1972
IS 432,IS 432,IS 432,published,,,2020,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlhaeVNwSlU4aE5hMDl6V1VpV3U4MlE9PSIsInZhbHVlIjoiUEx0elZGQTVGeG04WmlkcThOVXJKdz09IiwibWFjIjoiOWQwOTJlNjQ3Yjg0ZGIxN2UxY2M2MjUyNDg1OWM4ZGUxNjFiZDE5ZDI5ZmJmMDg5ZWY0YTk0NzM5NDlhOTQ3NyIsInRhZyI6IiJ9&standardNumber=IS%20432%20(Part%201):1982
IS 433,IS 433,IS 433,published,,,,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InpIU1RhRVJCbVVXeWRENC9XUFJQUVE9PSIsInZhbHVlIjoibHJKNkkzdWFiUHVRNFNVWUlZc2dKUT09IiwibWFjIjoiZjBhYzkyMGI4NWZkOGQxYzExZjY1NDVhM2Y3ZWM5Mzk3YTA3NTNkMDdlZTRhMDg2NTgzN2UxMzY3MmI4YTdlNCIsInRhZyI6IiJ9&standardNumber=IS%20433%20(Part%207):2022
IS 435:1973,IS 435:1973,IS 435:1973,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkErMWxtV2Z4U0FsSzdyZUx3WEM1TUE9PSIsInZhbHVlIjoiMWQxd3dnay92aW9jRDN6eWFqajBzQT09IiwibWFjIjoiMjlkMWQ1NzFmZTJhMzBhZmEyYzkyMjU4NGJjNWRlYmY5MzE3OGJhNDhiYmViNDJkZjU4NzczZDBiNzJjOTRjMCIsInRhZyI6IiJ9&standardNumber=IS%20435:1973
IS 436,Part 1 : Sec 1 : 1964,Part 1 : Sec 1 : 1964,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Im11dmhEZ21adXRLVjVyMmxtRi9ZK2c9PSIsInZhbHVlIjoiUUR2bkJhTGFOZFhUeVRyT0FtRFhTQT09IiwibWFjIjoiYTQ1YTViOGE3N2ExZWI3ZWQ3ZDMzMDlmNTEyZjQ2MjU4MTZkMzE4OTIzZTE4NzVkNDc2NmQ2YWJjNzU2YjQ0YiIsInRhZyI6IiJ9&standardNumber=IS%20436%20(Part%201%2FSec%201):2024
IS 437:2020,IS 437:2020,IS 437:2020,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjQvWVJ1dGZxazZPSE9LeGZXTmkzMnc9PSIsInZhbHVlIjoiOXZhNFBjNG9DUnhhdm9uUE81c0pvZz09IiwibWFjIjoiNjUzNjJmZTc2M2IzM2Y4NDk1ZjMyNTVjNGU3N2IyMDE4NTkxNDNhMjc3N2Q2Mjk4MDMwZTk3YTkzMDNlZjI3YyIsInRhZyI6IiJ9&standardNumber=IS%20437:2020
IS 438:2006,IS 438:2006,IS 438:2006,published,,,2026,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlNDUmFSR2lFdklUNGZlbTBvWDZSS0E9PSIsInZhbHVlIjoiQTdEcjFJNW5ZaEtFMUJqaDZXcEJyQT09IiwibWFjIjoiMThmMTA5N2QzNWIzOTBmZWMyODk0NjliYjdiYzg3YWYwYzI3MjVkYjZmMDUwZWQ5YzNkZTg5NTdjZGMzYjlmNSIsInRhZyI6IiJ9&standardNumber=IS%20438:2006
IS 439:2020,IS 439:2020,IS 439:2020,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlFPeE03MEUzUUY0cDUrMmVTeTdwQWc9PSIsInZhbHVlIjoiUExidFBWN05FUGVLQTRucjh3TkFVUT09IiwibWFjIjoiMjk1M2EzNDVmMmU4MDc4ODQ3Y2FkMjJlMzllOTY0MGU4ZTVmN2Q2NmU0NGRkZmEzMGVmOGU3YWVjODM1NGFhMSIsInRhZyI6IiJ9&standardNumber=IS%20439:2020
IS 440:2025,IS 440:2025,IS 440:2025,published,,,2025,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InNQTmsvbzdqaFIvNjlmTGIyR0xpSXc9PSIsInZhbHVlIjoiZStmdkllTkxhNG1zTmg4dVZHUzY5QT09IiwibWFjIjoiNjcyYjgxMDZkYTNjOTdlZGZmNWZjOWNmOTg4YThiNzc2MjkwZGEyMjhmY2VjZjMzZGI0NzA1YWQ2MmQwMzRhNSIsInRhZyI6IiJ9&standardNumber=IS%20440:2025
IS 443,IS 443,IS 443,published,,,2022,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImtBY21EcjZYcXRIVjFtUGtneGtOdmc9PSIsInZhbHVlIjoienhUNTkzSmNpVzFDaEtYcm5xTTVzUT09IiwibWFjIjoiMTg5ZDc4M2FlYzNlNTg5M2JiMTY1ZDM2OTFjN2EwZTkwMDdjZDVmNGM4YTkzODBiYWI0OGM2NTA1NDdjMGI1MSIsInRhZyI6IiJ9&standardNumber=IS%20443%20(Part%201):2022
IS 4:2024,IS 4:2024,IS 4:2024,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InpEYUNMakVudU5rTFFmUnlyVzVaaXc9PSIsInZhbHVlIjoiWVVQYUk4M0tHVnB0N2JsQUV1RndYdz09IiwibWFjIjoiNmYyNjNlOTEyODg2MWYyMDBiZjk4NWUxZGY0N2ZlNWFhNWU3MmI3MWFmZTQwMmI2Y2ZmZTkxNzM2YzMxZjBmMiIsInRhZyI6IiJ9&standardNumber=IS%204:2024
IS 500:2024,IS 500:2024,IS 500:2024,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik5ockpNVDhsNmtTeGdkZjZHTzJWWkE9PSIsInZhbHVlIjoiQXBmaFVDNVBEcmFJV3BnSnppbmNjdz09IiwibWFjIjoiOWM0MzE2MjY1MTVjNzFjYTcyNGM0MTI3YjU3ZWZhYmE2YjMwNzUxM2UxOWEyNTVmMjc5ZDAxNzkyYmY0YmExNSIsInRhZyI6IiJ9&standardNumber=IS%20500:2024
IS 501:1976,IS 501:1976,IS 501:1976,published,,,2024,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjRUcDhCUFRYUmlkdzNMUUtRcHI4RUE9PSIsInZhbHVlIjoienFzOTY2MHVQYjdERXgwVE1CRUpEUT09IiwibWFjIjoiZWMyMjhhODBiODc1YmE0NTc4ZTliOWVkOGJiZGY1ZTYwODVmZjc2ZjM1MzUyMjZhODU3NmZiZDkzY2VmMTA0MCIsInRhZyI6IiJ9&standardNumber=IS%20501:1976
IS 504,IS 504,IS 504,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkRnODBGRU1rakNDWnFSdG44SGo2T1E9PSIsInZhbHVlIjoiM09ld1JPNHFWbU80U3B2MVF0VEtPdz09IiwibWFjIjoiYzA5ZjVhMDYzODkzYTAxMzQ5OGJiMWRmMTdjYjcyNDg4OWY5YzAwYTY1MGRmYmUyNjgwMWU2NWJkNGZmMzkzMSIsInRhZyI6IiJ9&standardNumber=IS%20504%20(Part%201%20To%2012):2002
IS 504:1963,IS 504:1963,IS 504:1963,published,,,2023,Bureau of Indian Standards,https://standards.bis.gov.in,true,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImlEUzdWc2QxekwvbG1uRHJ4M3RtcFE9PSIsInZhbHVlIjoidmZoOFZLVksydVlOdWdaV1NxK2JrQT09IiwibWFjIjoiYThjNzRkZmI5YTYzNGUxM2VmZDAxMTZiZmE0NzcyZDk2YzVkODIwY2U5NWZjMGExZGViODUwYWQ3NDMzNmQwNyIsInRhZyI6IiJ9&standardNumber=IS%20504:1963
